,Region,Rural_Urban,No_of_Children_under_5,Age_at_1st_Birth,BirthOrder,Prec.BirthInterval,TotalChildren,HighestEducation,SexofChild,childSize,WealthQuantile,prev_termin_pregnancy,Year,Toiletfascility,HandwashFascility,Place_of_delivery,Contraceptive_use,Mediaexposure,age,dead_alive
Region,1.0,-0.34412992058981756,-0.04485615886497566,0.11489527674260867,-0.102592620078555,0.05000819302564314,-0.10827675353459634,0.24226116645675752,0.00954710225674194,-0.09051123605342339,0.286527681507835,-0.010256207909419205,-0.05701964454880935,0.2697162993000193,0.15200415541092696,0.26818539945738495,0.12916649867475094,0.18869925990685738,-0.0037134401138940783,0.009878274545562012
Rural_Urban,-0.34412992058981756,1.0,0.11753625313626737,-0.16891991266004502,0.18196123021621774,-0.16662028315980656,0.1776120464916973,-0.46068424281799336,0.0011499210289892556,0.050433181289024756,-0.576223069856849,-0.010327365572719497,-0.06060793506628516,-0.5284512995133017,-0.2940421693753555,-0.5351149285965744,-0.2793602209325325,-0.4062808624009642,-0.005473644123996748,-0.03381859111364354
No_of_Children_under_5,-0.04485615886497566,0.11753625313626737,1.0,-0.039613665148675585,0.17456414837140455,-0.3541498471126584,0.3369859480571519,-0.13201814410282353,0.01517682346806357,0.006716785003003816,-0.15700804098085794,-0.02139073968208367,0.04282947628892908,-0.0705542131366111,-0.10468802756947344,-0.13355788103864172,-0.14357470933866467,-0.049168854714038764,0.057983936432407346,0.24933048316037865
Age_at_1st_Birth,0.11489527674260867,-0.16891991266004502,-0.039613665148675585,1.0,-0.24049508941225106,-0.06541693027885549,-0.22164368368807352,0.16252840244410305,0.00634778367094387,0.0027629957596022386,0.10877798796359549,0.018106035472140805,0.0018770701113851338,0.12521805643588496,0.048641318459575075,0.16241177719623318,0.03771767084600093,0.06303171776601195,-0.03294045925170545,0.0063527590740005595
BirthOrder,-0.102592620078555,0.18196123021621774,0.17456414837140455,-0.24049508941225106,1.0,-0.07459357804086328,0.883951183617473,-0.29407372322251873,0.004318256774331674,-0.012056917304751417,-0.16490320779142464,0.08118450224978553,-0.03682232702597163,-0.12914515828834408,-0.07196342743574762,-0.1994513363925189,-0.11782464298405104,-0.11602795618682182,0.00606495641469765,-0.012419243576127496
Prec.BirthInterval,0.05000819302564314,-0.16662028315980656,-0.3541498471126584,-0.06541693027885549,-0.07459357804086328,1.0,-0.11260443025178785,0.12874700883466436,0.0010657827537682032,-0.0012298930252235686,0.17961577792949382,0.04153653037368098,0.039110809835024074,0.10603954677446602,0.09773983039513177,0.1929815193043017,0.1391850362669272,0.10069428814673026,-0.055722587011562796,0.0771162454616255
TotalChildren,-0.10827675353459634,0.1776120464916973,0.3369859480571519,-0.22164368368807352,0.883951183617473,-0.11260443025178785,1.0,-0.2814217683031215,0.007166506077022711,-0.0249536552789524,-0.1738192241240001,0.05974372800562422,0.034063461583725856,-0.11899375685572967,-0.09854425203154253,-0.2000098967436559,-0.13332004245218357,-0.09048881283425118,0.16897202523479946,0.10681335386389049
HighestEducation,0.24226116645675752,-0.46068424281799336,-0.13201814410282353,0.16252840244410305,-0.29407372322251873,0.12874700883466436,-0.2814217683031215,1.0,0.004289302105961767,-0.06388950109620294,0.4205397945258522,-0.014181297754333941,0.16942235103769104,0.33317870363009655,0.18263373917915846,0.4793481637857621,0.30666438613584335,0.3774173536031084,-0.027045454891705466,0.049970012374962215
SexofChild,0.00954710225674194,0.0011499210289892556,0.01517682346806357,0.00634778367094387,0.004318256774331674,0.0010657827537682032,0.007166506077022711,0.004289302105961767,1.0,0.0927375323001764,0.010065861423542431,-0.003454769886022184,-0.005479810293503146,-0.0013817822282957753,0.002689406029581067,-0.004456915877631697,0.0015713109150099422,0.01031397500239993,0.01101059875051306,0.03034881106604433
childSize,-0.09051123605342339,0.050433181289024756,0.006716785003003816,0.0027629957596022386,-0.012056917304751417,-0.0012298930252235686,-0.0249536552789524,-0.06388950109620294,0.0927375323001764,1.0,-0.09839816612955068,-0.010407815202330428,0.0042339689658267695,-0.04130160606218711,-0.04646771146745559,-0.07106086120364236,-0.04269843591475709,-0.054099058403175394,-0.06715188394026714,-0.003379710453185581
WealthQuantile,0.286527681507835,-0.576223069856849,-0.15700804098085794,0.10877798796359549,-0.16490320779142464,0.17961577792949382,-0.1738192241240001,0.4205397945258522,0.010065861423542431,-0.09839816612955068,1.0,0.011984269117889069,-0.05093774467375337,0.4536856663551003,0.38410918070582006,0.40837243907132675,0.3220038722268376,0.5532920101289653,-0.0025726822824129417,0.033256157020690055
prev_termin_pregnancy,-0.010256207909419205,-0.010327365572719497,-0.02139073968208367,0.018106035472140805,0.08118450224978553,0.04153653037368098,0.05974372800562422,-0.014181297754333941,-0.003454769886022184,-0.010407815202330428,0.011984269117889069,1.0,-0.05673992935437882,0.008646115987834983,0.010742383954382673,0.0004365655305381276,-0.018399286730639973,0.0038047415124445928,0.03001528271107556,-0.006646756310456637
Year,-0.05701964454880935,-0.06060793506628516,0.04282947628892908,0.0018770701113851338,-0.03682232702597163,0.039110809835024074,0.034063461583725856,0.16942235103769104,-0.005479810293503146,0.0042339689658267695,-0.05093774467375337,-0.05673992935437882,1.0,0.028362089480536968,-0.24267358839266748,0.2111753652937072,0.1908240062321269,0.18806032818273408,0.024232920699562194,0.07887430374505601
